# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1758901583954000000,1758901643962000000,9
cacheStateStorage.get.duration,1758901583954000000,1758901643962000000,24
cacheStateStorage.set.counter,1758901583954000000,1758901643962000000,3
cacheStateStorage.get.counter,1758901583954000000,1758901643962000000,20
parser.Simple.size.bytes,1758901583954000000,1758901643962000000,0
writeAction.median.wait.ms,1758901583954000000,1758901643962000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1758901583954000000,1758901643962000000,4104
writeAction.wait.ms,1758901583954000000,1758901643962000000,7
DiskQueryRelay.taskWaitingTotalTimeUs,1758901583954000000,1758901643962000000,27220
parser.Simple.time.ns,1758901583954000000,1758901643962000000,3956292
writeAction.count,1758901583954000000,1758901643962000000,258
writeAction.max.wait.ms,1758901583954000000,1758901643962000000,1
lexer.Simple.size.bytes,1758901583954000000,1758901643962000000,0
lexer.Simple.time.ns,1758901583954000000,1758901643962000000,286125
DiskQueryRelay.tasksRequested,1758901583954000000,1758901643962000000,31
DiskQueryRelay.tasksExecuted,1758901583954000000,1758901643962000000,31
JVM.newThreadsCount,1758901583954000000,1758901643962000000,94
JVM.maxHeapBytes,1758901583954000000,1758901643962000000,2147483648
JVM.totalBytesAllocated,1758901583954000000,1758901643962000000,1089104144
JVM.usedNativeBytes,1758901583954000000,1758901643962000000,344530784
JVM.totalCpuTimeMs,1758901583954000000,1758901643962000000,27456
JVM.GC.collections,1758901583954000000,1758901643962000000,27
JVM.GC.collectionTimesMs,1758901583954000000,1758901643962000000,73
JVM.totalSafepointCount,1758901583954000000,1758901643962000000,223
JVM.maxThreadCount,1758901583954000000,1758901643962000000,82
JVM.totalTimeAtSafepointsMs,1758901583954000000,1758901643962000000,85
JVM.totalDirectByteBuffersBytes,1758901583954000000,1758901643962000000,214337841
JVM.usedHeapBytes,1758901583954000000,1758901643962000000,304477744
JVM.totalTimeToSafepointsMs,1758901583954000000,1758901643962000000,30
OS.loadAverage,1758901583954000000,1758901643962000000,2.7841796875
JVM.threadCount,1758901583954000000,1758901643962000000,80
IndexesFlusher.totalFlushingTimeUs,1758901583954000000,1758901643962000000,317116
Indexes.allKeys.lookupDuration90PMs,1758901583954000000,1758901643962000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1758901583954000000,1758901643962000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1758901583954000000,1758901643962000000,0
Indexes.entries.lookups,1758901583954000000,1758901643962000000,32
Indexes.allKeys.lookupDurationAvgMs,1758901583954000000,1758901643962000000,0.0
