# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.workspaceFileIndexData.getPackageName.ms,1758902059843000000,1758902072364000000,0
Indexing.cache.totalCacheEvicted,1758902059843000000,1758902072364000000,8394
Indexing.writer_1.totalTimeSpentWritingMs,1758902059843000000,1758902072364000000,43
Indexes.stubs.lookupDurationMaxMs,1758902059843000000,1758902072364000000,0.0
Indexes.stubs.lookupDurationAvgMs,1758902059843000000,1758902072364000000,0.0
Indexes.stubs.lookupDuration90PMs,1758902059843000000,1758902072364000000,0.0
Indexes.allKeys.lookupDuration90PMs,1758902059843000000,1758902072364000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1758902059843000000,1758902072364000000,49
Indexing.cache.totalCacheMisses,1758902059843000000,1758902072364000000,8394
Indexes.entries.lookupDuration90PMs,1758902059843000000,1758902072364000000,1.0
Indexing.totalTimeIndexersSleptMs,1758902059843000000,1758902072364000000,0
Indexes.allKeys.lookups,1758902059843000000,1758902072364000000,0
Indexing.writesQueuedMax,1758902059843000000,1758902072364000000,4
Indexes.entries.lookupDurationAvgMs,1758902059843000000,1758902072364000000,0.75
Indexing.cache.totalCacheAccesses,1758902059843000000,1758902072364000000,29163
Indexes.stubs.lookups,1758902059843000000,1758902072364000000,0
Indexes.allKeys.lookupDurationAvgMs,1758902059843000000,1758902072364000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1758902059843000000,1758902072364000000,23
Indexes.allKeys.lookupDurationMaxMs,1758902059843000000,1758902072364000000,0.0
Indexing.writesQueuedAvg,1758902059843000000,1758902072364000000,0.17391304347826086
Indexing.writer_2.totalTimeSpentWritingMs,1758902059843000000,1758902072364000000,34
Indexes.entries.lookups,1758902059843000000,1758902072364000000,4
Indexes.entries.lookupDurationMaxMs,1758902059843000000,1758902072364000000,1.0
Indexing.writesQueuedMin,1758902059843000000,1758902072364000000,0
