# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsUncompressedSize,1758901371336000000,1758901431344000000,0
VFS.contentStorage.recordsStoredSize,1758901371336000000,1758901431344000000,0
VFS.fileByIdCache.misses,1758901371336000000,1758901431344000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1758901371336000000,1758901431344000000,0
VFS.fileChildByName,1758901371336000000,1758901431344000000,18
VFS.contentStorage.recordsReadDecompressed,1758901371336000000,1758901431344000000,0
VFS.contentStorage.recordsReadSize,1758901371336000000,1758901431344000000,0
VFS.contentStorage.recordsRead,1758901371336000000,1758901431344000000,0
VFS.contentStorage.recordsDeduplicated,1758901371336000000,1758901431344000000,0
FileNameCache.queries,1758901371336000000,1758901431344000000,0
VFS.fileByIdCache.hits,1758901371336000000,1758901431344000000,0
FileNameCache.totalMisses,1758901371336000000,1758901431344000000,0
VFS.contentStorage.recordsStored,1758901371336000000,1758901431344000000,0
VFS.contentStorage.recordsStoredCompressed,1758901371336000000,1758901431344000000,0
VFS.invertedFileNameIndex.requests,1758901371336000000,1758901431344000000,0
DiskQueryRelay.tasksExecuted,1758901371336000000,1758901431344000000,14
writeAction.max.wait.ms,1758901371336000000,1758901431344000000,1
writeAction.median.wait.ms,1758901371336000000,1758901431344000000,0
writeAction.count,1758901371336000000,1758901431344000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1758901371336000000,1758901431344000000,2812
writeAction.wait.ms,1758901371336000000,1758901431344000000,1
DiskQueryRelay.tasksRequested,1758901371336000000,1758901431344000000,14
DiskQueryRelay.taskWaitingTotalTimeUs,1758901371336000000,1758901431344000000,21183
AWTEventQueue.dispatchTimeTotalNS,1758901371336000000,1758901431344000000,2093395618
FlushQueue.waitingTime90PNs,1758901371336000000,1758901431344000000,700415
AWTEventQueue.dispatchTime90PNs,1758901371336000000,1758901431344000000,1712127
ReadAction.executionsCount,1758901371336000000,1758901431344000000,37
FlushQueue.waitingTimeMaxNs,1758901371336000000,1758901431344000000,318767103
FlushQueue.executionTimeMaxNs,1758901371336000000,1758901431344000000,291504127
AWTEventQueue.dispatchTimeAvgNs,1758901371336000000,1758901431344000000,1338786.0460358057
AWTEventQueue.eventsDispatched,1758901371336000000,1758901431344000000,1564
FlushQueue.queueSizeAvg,1758901371336000000,1758901431344000000,0.32535094962840627
FlushQueue.executionTimeAvgNs,1758901371336000000,1758901431344000000,872098.9727497936
FlushQueue.queueSize90P,1758901371336000000,1758901431344000000,0
FlushQueue.executionTime90PNs,1758901371336000000,1758901431344000000,851967
AWTEventQueue.dispatchTimeMaxNs,1758901371336000000,1758901431344000000,291504127
FlushQueue.tasksExecuted,1758901371336000000,1758901431344000000,1211
FlushQueue.waitingTimeAvgNs,1758901371336000000,1758901431344000000,4151009.82328654
WriteAction.executionsCount,1758901371336000000,1758901431344000000,1
FlushQueue.queueSizeMax,1758901371336000000,1758901431344000000,21
MappedFileStorage.totalTimeSpentOnMappingUs,1758901371336000000,1758901431344000000,7065
FilePageCacheLockFree.totalNativeBytesReclaimed,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1758901371336000000,1758901431344000000,0
DirectByteBufferAllocator.misses,1758901371336000000,1758901431344000000,188
FilePageCacheLockFree.totalPagesReclaimed,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1758901371336000000,1758901431344000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.totalBytesRead,1758901371336000000,1758901431344000000,0
FilePageCache.pageHits,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.totalPagesRequested,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1758901371336000000,1758901431344000000,0
FilePageCache.maxRegisteredFiles,1758901371336000000,1758901431344000000,520
MappedFileStorage.totalBytesMapped,1758901371336000000,1758901431344000000,164626432
FilePageCacheLockFree.totalBytesRequested,1758901371336000000,1758901431344000000,0
FilePageCache.pageLoads,1758901371336000000,1758901431344000000,191
FilePageCacheLockFree.totalPagesWritten,1758901371336000000,1758901431344000000,0
MappedFileStorage.storages,1758901371336000000,1758901431344000000,6
FilePageCacheLockFree.nativeBytesInUse,1758901371336000000,1758901431344000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1758901371336000000,1758901431344000000,65418
FilePageCacheLockFree.housekeeperTurnsDone,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.totalBytesWritten,1758901371336000000,1758901431344000000,0
FilePageCache.maxCacheSizeInBytes,1758901371336000000,1758901431344000000,195051520
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1758901371336000000,1758901431344000000,207018
FilePageCacheLockFree.totalPagesAllocated,1758901371336000000,1758901431344000000,0
FilePageCache.pageFastCacheHits,1758901371336000000,1758901431344000000,3757
FilePageCacheLockFree.totalPagesHandedOver,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1758901371336000000,1758901431344000000,0
FilePageCache.uncachedFileAccess,1758901371336000000,1758901431344000000,111
MappedFileStorage.totalPagesMapped,1758901371336000000,1758901431344000000,6
FilePageCacheLockFree.heapBytesInUse,1758901371336000000,1758901431344000000,0
StreamlinedBlobStorage.recordsRelocated,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.totalPagesWriteMs,1758901371336000000,1758901431344000000,0
StorageLockContext.competingThreads.90P,1758901371336000000,1758901431344000000,0
DirectByteBufferAllocator.reclaimed,1758901371336000000,1758901431344000000,3
StorageLockContext.competingThreads.max,1758901371336000000,1758901431344000000,0
DirectByteBufferAllocator.disposed,1758901371336000000,1758901431344000000,0
FilePageCache.totalPageLoadsUs,1758901371336000000,1758901431344000000,68389
FilePageCacheLockFree.totalHeapBytesAllocated,1758901371336000000,1758901431344000000,0
DirectByteBufferAllocator.hits,1758901371336000000,1758901431344000000,3
FilePageCacheLockFree.totalPagesReadMs,1758901371336000000,1758901431344000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1758901371336000000,1758901431344000000,0
StreamlinedBlobStorage.recordsAllocated,1758901371336000000,1758901431344000000,2611
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1758901371336000000,1758901431344000000,195051520
FilePageCache.totalPageDisposalsUs,1758901371336000000,1758901431344000000,3255
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1758901371336000000,1758901431344000000,0
FilePageCache.capacityInBytes,1758901371336000000,1758901431344000000,503316478
FilePageCache.disposedBuffers,1758901371336000000,1758901431344000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1758901371336000000,1758901431344000000,0
StreamlinedBlobStorage.recordsDeleted,1758901371336000000,1758901431344000000,3
StorageLockContext.competingThreads.avg,1758901371336000000,1758901431344000000,0.0
cacheStateStorage.set.duration,1758901371336000000,1758901431344000000,0
cacheStateStorage.set.counter,1758901371336000000,1758901431344000000,0
cacheStateStorage.get.counter,1758901371336000000,1758901431344000000,2
cacheStateStorage.get.duration,1758901371336000000,1758901431344000000,8
IndexesFlusher.totalFlushesRetried,1758901371336000000,1758901431344000000,0
IndexesFlusher.totalContentionQuotaSpent,1758901371336000000,1758901431344000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1758901371336000000,1758901431344000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1758901371336000000,1758901431344000000,0
Indexing.cache.totalCacheMisses,1758901371336000000,1758901431344000000,0
IndexesFlusher.totalFlushes,1758901371336000000,1758901431344000000,58
