# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.tasksExecuted,1758900946293000000,1758901006315000000,26
writeAction.max.wait.ms,1758900946293000000,1758901006315000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1758900946293000000,1758901006315000000,42826
DiskQueryRelay.tasksRequested,1758900946293000000,1758901006315000000,26
writeAction.wait.ms,1758900946293000000,1758901006315000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1758900946293000000,1758901006315000000,4730
writeAction.median.wait.ms,1758900946293000000,1758901006315000000,0
writeAction.count,1758900946293000000,1758901006315000000,1
Indexing.cache.totalCacheAccesses,1758900946293000000,1758901006315000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1758900946293000000,1758901006315000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1758900946293000000,1758901006315000000,0
Indexing.cache.totalCacheEvicted,1758900946293000000,1758901006315000000,0
Indexing.writesQueuedMax,1758900946293000000,1758901006315000000,0
IndexesFlusher.totalFlushes,1758900946293000000,1758901006315000000,58
Indexing.cache.totalCacheMisses,1758900946293000000,1758901006315000000,0
Indexing.writesQueuedMin,1758900946293000000,1758901006315000000,9223372036854775807
IndexesFlusher.totalFlushesRetried,1758900946293000000,1758901006315000000,0
IndexesFlusher.totalContentionQuotaSpent,1758900946293000000,1758901006315000000,0
Indexing.totalTimeIndexersSleptMs,1758900946293000000,1758901006315000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1758900946293000000,1758901006315000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1758900946293000000,1758901006315000000,0
IndexesFlusher.totalFlushingTimeUs,1758900946293000000,1758901006315000000,391934
FilePageCacheLockFree.totalPagesRequested,1758900946293000000,1758901006315000000,0
FilePageCacheLockFree.totalPagesReclaimed,1758900946293000000,1758901006315000000,0
DirectByteBufferAllocator.disposed,1758900946293000000,1758901006315000000,0
StreamlinedBlobStorage.recordsDeleted,1758900946293000000,1758901006315000000,0
FilePageCache.maxRegisteredFiles,1758900946293000000,1758901006315000000,520
FilePageCacheLockFree.heapBytesInUse,1758900946293000000,1758901006315000000,0
DirectByteBufferAllocator.misses,1758900946293000000,1758901006315000000,188
FilePageCacheLockFree.totalPagesWritten,1758900946293000000,1758901006315000000,0
FilePageCache.totalPageLoadsUs,1758900946293000000,1758901006315000000,49883
FilePageCacheLockFree.totalHeapBytesReclaimed,1758900946293000000,1758901006315000000,0
StorageLockContext.competingThreads.avg,1758900946293000000,1758901006315000000,0.0
FilePageCache.pageFastCacheHits,1758900946293000000,1758901006315000000,13124
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1758900946293000000,1758901006315000000,195051520
FileChannelInterruptsRetryer.totalRetriedAttempts,1758900946293000000,1758901006315000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1758900946293000000,1758901006315000000,0
FilePageCache.disposedBuffers,1758900946293000000,1758901006315000000,5
