# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleBridge.before.changed.ms,1758902136671000000,1758902196768000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1758902136671000000,1758902196768000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1758902136671000000,1758902196768000000,4
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1758902136671000000,1758902196768000000,0
workspaceModel.do.save.caches.ms,1758902136671000000,1758902196768000000,25
workspaceModel.moduleManagerBridge.build.module.graph.ms,1758902136671000000,1758902196768000000,1
jps.global.handle.before.change.events.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1758902136671000000,1758902196768000000,0
workspaceModel.global.updates.ms,1758902136671000000,1758902196768000000,0
workspaceModel.global.updates.count,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1758902136671000000,1758902196768000000,0
jps.global.initialize.library.bridges.ms,1758902136671000000,1758902196768000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1758902136671000000,1758902196768000000,43
workspaceModel.moduleManagerBridge.load.all.modules.ms,1758902136671000000,1758902196768000000,53
workspaceModel.orphan.listener.update.ms,1758902136671000000,1758902196768000000,1
jps.global.get.library.ms,1758902136671000000,1758902196768000000,0
jps.load.project.to.empty.storage.ms,1758902136671000000,1758902196768000000,35
jps.module.iml.entities.serializer.save.entities.ms,1758902136671000000,1758902196768000000,0
jps.artifact.entities.serializer.load.entities.ms,1758902136671000000,1758902196768000000,0
jps.save.changed.project.entities.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1758902136671000000,1758902196768000000,0
jps.library.entities.serializer.save.entities.ms,1758902136671000000,1758902196768000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1758902136671000000,1758902196768000000,2
jps.apply.loaded.storage.ms,1758902136671000000,1758902196768000000,7
jps.facet.change.listener.process.change.events.ms,1758902136671000000,1758902196768000000,0
workspaceModel.load.cache.metadata.from.file.ms,1758902136671000000,1758902196768000000,6
workspaceModel.save.cache.to.file.ms,1758902136671000000,1758902196768000000,21
jps.global.get.libraries.ms,1758902136671000000,1758902196768000000,0
jps.artifact.entities.serializer.save.entities.ms,1758902136671000000,1758902196768000000,0
workspaceModel.load.cache.from.file.ms,1758902136671000000,1758902196768000000,54
workspaceModel.moduleManagerBridge.newModule.ms,1758902136671000000,1758902196768000000,0
workspaceModel.global.apply.state.to.project.ms,1758902136671000000,1758902196768000000,18
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1758902136671000000,1758902196768000000,3
workspaceModel.sync.entities.ms,1758902136671000000,1758902196768000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1758902136671000000,1758902196768000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1758902136671000000,1758902196768000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1758902136671000000,1758902196768000000,2
jps.load.initial.state.ms,1758902136671000000,1758902196768000000,7
workspaceModel.mutableEntityStorage.remove.entity.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1758902136671000000,1758902196768000000,0
jps.storage.jps.conf.reader.load.component.ms,1758902136671000000,1758902196768000000,2
jps.app.storage.content.reader.load.component.ms,1758902136671000000,1758902196768000000,0
jps.save.global.entities.ms,1758902136671000000,1758902196768000000,4
workspaceModel.mutableEntityStorage.replace.by.source.ms,1758902136671000000,1758902196768000000,4
jps.reload.project.entities.ms,1758902136671000000,1758902196768000000,0
jps.app.storage.content.writer.save.component.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.entities.ms,1758902136671000000,1758902196768000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1758902136671000000,1758902196768000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1758902136671000000,1758902196768000000,0
